id;jhi_key;value;description
1;espansa Cheese Ergonomic;coerente;grey
2;Belize Tasty synthesize;Rotonda;overriding
3;Metrics input;withdrawal Granite port;esperienze
4;metodologie calculating;program Shirt;polarizzata Internal Concrete
5;partnerships;Granite digital JBOD;parsing Burkina auxiliary
6;Account Investment web;Cambridgeshire front-end Metrics;Awesome
7;Fish Loan;open-source;inversa migliorate Computers
8;quantifying Wooden;configurabile Tactics Technician;Keyboard Licensed
9;generate;payment SMS;Unbranded
10;bypass Grosseto Piazza;integrata;incentivate
